produit_id,mois_offset,quantite_commandee,stock_final,rupture,demande_prevue,commande_passee,classe_abc,cout_achat,lead_time_mois
P0058,1,4,0.0,8.7085494,9.708549392649259,1,B,280.0,1
P0058,2,2,0.0,0.0,3.6070470162934063,1,B,280.0,1
P0058,3,5,0.0,0.0,2.2461899166592048,1,B,280.0,1
P0058,4,4,0.0,0.0,5.336912532307125,1,B,280.0,1
P0058,5,6,0.0,0.0,4.209315404015327,1,B,280.0,1
P0058,6,0,0.0,0.0,5.5134241575327145,0,B,280.0,1
P0232,1,11,0.0,4.2737735,7.273773468293443,1,B,280.0,2
P0232,2,3,0.0,6.0935316,6.093531641038787,1,B,280.0,2
P0232,3,10,0.0,0.0,11.291744517443059,1,B,280.0,2
P0232,4,2,0.0,0.0,3.1895200547731104,1,B,280.0,2
P0232,5,0,0.0,0.0,10.086169904853614,0,B,280.0,2
P0232,6,0,0.0,0.0,1.5522208128187798,0,B,280.0,2
P0157,1,57,0.0,12.454995,37.45499531417725,1,B,38.0,1
P0157,2,33,0.0,0.0,57.27802920966433,1,B,38.0,1
P0157,3,34,0.0,0.0,33.152182372233625,1,B,38.0,1
P0157,4,36,0.0,0.0,33.762640307095445,1,B,38.0,1
P0157,5,43,0.0,0.0,36.02536724414508,1,B,38.0,1
P0157,6,0,0.0,0.0,43.05002961271302,0,B,38.0,1
P0086,1,11,3.1725938,0.0,12.827406165387853,1,B,200.0,2
P0086,2,11,0.0,10.477892,13.65048533963821,1,B,200.0,2
P0086,3,10,0.0,0.0,11.109492072240405,1,B,200.0,2
P0086,4,8,0.0,0.0,11.493412218523602,1,B,200.0,2
P0086,5,0,0.0,0.0,10.336130204168043,0,B,200.0,2
P0086,6,0,0.0,0.0,8.164115679238822,0,B,200.0,2
P0220,1,19,0.0,13.773461,22.773461355842183,1,B,130.0,2
P0220,2,13,0.0,24.913989,24.913989052944554,1,B,130.0,2
P0220,3,12,0.0,0.0,18.577708428159568,1,B,130.0,2
P0220,4,13,0.0,0.0,12.895490736652548,1,B,130.0,2
P0220,5,0,0.0,0.0,12.343004807143803,0,B,130.0,2
P0220,6,0,0.0,0.0,13.145146977853477,0,B,130.0,2
P0006,1,0,11.527417,0.0,3.4725833796054393,0,B,145.0,1
P0006,2,1,5.2390951,0.0,6.288321549980047,1,B,145.0,1
P0006,3,22,0.0,0.0,5.95351608276772,1,B,145.0,1
P0006,4,30,0.0,0.0,22.126460011942065,1,B,145.0,1
P0006,5,3,0.0,0.0,30.409928880131105,1,B,145.0,1
P0006,6,0,0.0,0.0,2.843101550714725,0,B,145.0,1
P0095,1,16,0.0,25.698551,44.69855086646349,1,B,75.0,2
P0095,2,9,0.0,36.000102,36.000102143398685,1,B,75.0,2
P0095,3,20,0.0,0.0,15.759697796570606,1,B,75.0,2
P0095,4,18,0.0,0.0,9.317982026929965,1,B,75.0,2
P0095,5,0,0.0,0.0,19.60155812233897,0,B,75.0,2
P0095,6,0,0.0,0.0,17.521218098808088,0,B,75.0,2
P0145,1,52,0.0,30.147542,50.14754197508574,1,B,28.0,2
P0145,2,46,0.0,69.499411,69.49941065443677,1,B,28.0,2
P0145,3,27,0.0,0.0,52.14159925968419,1,B,28.0,2
P0145,4,57,0.0,0.0,45.84784781166092,1,B,28.0,2
P0145,5,0,0.0,0.0,27.16052260792764,0,B,28.0,2
P0145,6,0,0.0,0.0,56.91789774506039,0,B,28.0,2
P0074,1,0,3.1765395,0.0,2.823460457932727,0,B,1190.0,1
P0074,2,0,3.1765395,0.0,0.0,0,B,1190.0,1
P0074,3,0,0.61109497,0.0,2.5654445681701588,0,B,1190.0,1
P0074,4,1,0.0,0.0,0.655259064878603,1,B,1190.0,1
P0074,5,0,0.0,0.0,0.825372106839525,0,B,1190.0,1
P0074,6,0,0.0,0.0,0.07964232578966937,0,B,1190.0,1
P0159,1,44,0.0,21.854002,43.8540018649305,1,B,28.0,2
